,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
2811,Apartment,Entire home/apt,Real Bed,3,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,2,1,1,33,1,219,45,2
2812,Condominium,Entire home/apt,Real Bed,1,720,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,3,1,1,10,1,159,0,1
2813,Apartment,Private room,Real Bed,2,30,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,2,1,2,49,1,68,12,2
2814,Apartment,Private room,Real Bed,2,7,moderate,2/16/2019 5:00,2/16/2019 5:00,5,2,2,9,2,44,10,1
2815,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,3,1,2,40,1,40,0,1
2816,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2/16/2019 5:00,2/16/2019 5:00,6,3,6,3,2,40,15,1
2817,Serviced apartment,Entire home/apt,Real Bed,28,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,4,2,2,0,1,754,0,1
2818,House,Entire home/apt,Real Bed,2,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,2,0,1,85,0,1
2819,Apartment,Entire home/apt,Real Bed,32,1124,flexible,3/8/2019 5:00,3/8/2019 5:00,6,4,6,0,2,50,0,1
2820,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,6,3,3,0,1,60,20,1
2821,Condominium,Entire home/apt,Real Bed,1,60,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,4,0,1,27,1,159,25,2
2822,Apartment,Private room,Real Bed,2,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,1,17,1,55,0,1
2823,Bed and breakfast,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,1,1,1,0,1,58,0,1
2824,Apartment,Entire home/apt,Real Bed,31,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,2,1,1,2,1,45,0,1
2825,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,2,1,1,8,1,35,0,1
2826,Guest suite,Entire home/apt,Real Bed,2,30,moderate,3/7/2019 5:00,3/7/2019 5:00,4,3,3,17,1,100,30,3
2827,Other,Entire home/apt,Real Bed,1,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,2,0,1,29,1,85,0,1
2828,Apartment,Private room,Real Bed,2,10,flexible,2/18/2019 5:00,2/18/2019 5:00,6,1,1,0,2,316,105,1
2829,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2/16/2019 5:00,2/16/2019 5:00,4,2,2,4,2,45,0,1
2830,Apartment,Private room,Real Bed,2,1125,moderate,2/18/2019 5:00,2/18/2019 5:00,2,1,1,20,1,63,50,1
2831,Apartment,Private room,Real Bed,10,60,flexible,3/11/2019 4:00,3/11/2019 4:00,1,1,1,0,1,48,0,1
2832,House,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,4,2,2,0,1,235,0,1
2833,Apartment,Private room,Real Bed,30,1000,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,3,1,1,76,1,98,65,1
2834,Apartment,Entire home/apt,Real Bed,1,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,4,2,2,51,2.5,246,25,2
2835,Loft,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,8,1,7,6,1,119,45,2
2836,Apartment,Entire home/apt,Real Bed,32,330,moderate,3/8/2019 5:00,3/8/2019 5:00,4,2,3,0,1,70,0,4
2837,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2/16/2019 5:00,2/16/2019 5:00,3,1,2,13,1,55,10,2
2838,Apartment,Private room,Real Bed,2,5,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,1,0,1,64,0,1
2839,Loft,Entire home/apt,Real Bed,2,28,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,4,1,3,62,1,161,20,2
2840,Apartment,Entire home/apt,Real Bed,3,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,1,4,1,848,0,1
2841,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2/16/2019 5:00,2/16/2019 5:00,3,0,2,36,1,45,10,2
2842,Apartment,Private room,Real Bed,1,1124,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,3,1,2,8,3,45,21,1
2843,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,1,0,1,190,223,2
2844,Apartment,Entire home/apt,Real Bed,2,548,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,3,1,2,2,1,55,15,2
2845,Apartment,Private room,Real Bed,2,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,2,1,2,7,1,109,15,1
2846,House,Private room,Real Bed,7,1125,flexible,3/7/2019 5:00,3/7/2019 5:00,1,1,1,0,1,33,0,1
2847,Apartment,Private room,Real Bed,1,7,moderate,3/7/2019 5:00,3/7/2019 5:00,3,1,1,0,1,70,0,1
2848,Townhouse,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,6,3,3,2,1,451,0,1
2849,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,1,1,1,50,1,18,0,1
2850,Apartment,Private room,Real Bed,2,90,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,1,1,1,0,1,75,10,1
2851,Apartment,Private room,Real Bed,1,3,moderate,2/16/2019 5:00,2/16/2019 5:00,2,1,1,72,1,20,0,1
